Filename,Hue,Saturation,Value
4.jpg_4_3.png,34.0,157.0,52.0
28.jpg_3_1.png,41.0,212.0,157.0
7.jpg_1_0.png,25.0,238.0,178.0
34.jpg_3_0.png,46.0,243.0,107.0
44.jpg_1_2.png,107.0,251.0,145.0
51.jpg_3_2.png,42.0,220.0,123.0
66.jpg_1_4.png,18.0,159.0,103.0
32.jpg_0_0.png,24.0,107.0,82.5
42.jpg_2_2.png,56.0,94.0,31.0
22.jpg_4_3.png,37.0,147.0,62.0
1.jpg_2_0.png,49.0,147.0,46.0
66.jpg_1_0.png,23.0,221.0,191.0
16.jpg_3_2.png,48.0,167.0,44.0
69.jpg_0_1.png,17.0,122.0,122.0
1.jpg_2_4.png,107.0,229.0,142.0
19.jpg_2_3.png,26.0,248.0,193.0
32.jpg_0_4.png,26.0,246.0,200.0
65.jpg_4_3.png,23.0,227.0,186.0
27.jpg_2_4.png,38.0,106.0,65.0
34.jpg_3_4.png,23.0,47.0,36.0
7.jpg_1_4.png,105.0,255.0,176.0
16.jpg_1_0.png,26.0,247.0,189.0
66.jpg_3_2.png,17.0,152.0,87.0
51.jpg_1_4.png,43.0,249.0,87.0
42.jpg_0_4.png,25.0,252.0,177.0
19.jpg_0_1.png,26.0,252.0,195.0
69.jpg_2_3.png,18.0,142.0,117.0
15.jpg_4_3.png,53.0,149.0,32.0
70.jpg_4_1.png,105.0,255.0,162.0
57.jpg_2_4.png,31.0,206.0,109.0
44.jpg_3_4.png,51.0,150.0,37.0
31.jpg_1_3.png,43.0,211.0,162.0
41.jpg_3_1.png,25.0,246.0,177.0
32.jpg_4_0.png,23.0,97.0,138.5
52.jpg_2_1.png,27.0,230.0,170.0
22.jpg_0_3.png,47.0,182.0,48.0
37.jpg_2_3.png,52.0,145.0,31.0
57.jpg_4_2.png,21.0,47.0,105.0
47.jpg_0_1.png,42.0,217.0,131.0
4.jpg_0_3.png,105.0,236.0,142.0
38.jpg_3_2.png,25.0,249.0,166.0
54.jpg_1_1.png,48.0,98.0,41.0
24.jpg_3_3.png,33.0,217.0,146.0
41.jpg_1_3.png,21.0,124.0,88.0
31.jpg_3_1.png,26.0,248.0,192.0
1.jpg_4_2.png,41.0,224.0,148.0
42.jpg_4_0.png,55.0,91.0,28.0
22.jpg_2_1.png,37.0,190.0,56.0
52.jpg_0_3.png,22.0,36.0,99.0
4.jpg_2_1.png,34.0,224.0,136.0
47.jpg_2_3.png,38.0,241.0,97.0
27.jpg_4_2.png,34.0,139.0,54.0
37.jpg_0_1.png,26.0,255.0,160.0
38.jpg_1_0.png,21.0,164.0,69.0
24.jpg_1_1.png,22.0,140.0,116.0
54.jpg_3_3.png,25.0,228.0,149.0
54.jpg_3_2.png,26.0,234.0,164.0
24.jpg_1_0.png,104.0,252.0,193.0
63.jpg_1_4.png,40.0,146.5,21.0
38.jpg_1_1.png,25.0,255.0,165.0
70.jpg_0_4.png,105.0,250.0,162.0
4.jpg_2_0.png,26.0,240.0,180.0
37.jpg_0_0.png,37.0,188.0,90.0
27.jpg_4_3.png,50.0,116.0,45.0
47.jpg_2_2.png,30.0,60.0,53.0
19.jpg_4_4.png,25.0,247.0,170.0
1.jpg_4_3.png,38.0,231.0,136.0
52.jpg_0_2.png,26.0,225.0,154.0
22.jpg_2_0.png,26.0,254.0,187.0
42.jpg_4_1.png,63.0,73.0,29.0
65.jpg_2_4.png,43.0,195.0,129.0
31.jpg_3_0.png,26.0,243.0,190.0
41.jpg_1_2.png,107.0,251.0,147.0
24.jpg_3_2.png,51.0,121.0,46.0
54.jpg_1_0.png,70.0,83.0,39.0
38.jpg_3_3.png,43.0,78.0,46.0
13.jpg_1_4.png,24.0,80.0,129.0
47.jpg_0_0.png,34.0,142.5,47.0
57.jpg_4_3.png,23.0,244.0,163.0
37.jpg_2_2.png,30.0,120.0,70.0
4.jpg_0_2.png,105.0,254.0,172.0
22.jpg_0_2.png,21.0,198.0,155.0
52.jpg_2_0.png,27.0,235.0,170.0
32.jpg_4_1.png,48.0,145.0,48.0
69.jpg_4_4.png,22.0,154.0,90.0
15.jpg_2_4.png,41.0,236.0,124.0
41.jpg_3_0.png,51.0,116.0,33.0
31.jpg_1_2.png,35.0,213.0,139.0
37.jpg_4_4.png,18.0,200.0,130.0
70.jpg_4_0.png,23.0,130.0,73.0
15.jpg_4_2.png,32.0,83.0,45.0
69.jpg_2_2.png,19.0,153.0,71.0
19.jpg_0_0.png,25.0,245.0,175.0
66.jpg_3_3.png,18.0,136.0,89.0
16.jpg_1_1.png,105.0,244.0,141.0
28.jpg_3_4.png,26.0,230.0,198.0
47.jpg_4_4.png,48.0,185.0,95.0
65.jpg_4_2.png,24.0,39.5,114.0
19.jpg_2_2.png,19.0,72.0,130.0
69.jpg_0_0.png,23.0,242.0,178.0
16.jpg_3_3.png,26.0,237.0,186.0
66.jpg_1_1.png,20.0,67.0,42.0
66.jpg_1_3.png,24.0,250.0,195.0
16.jpg_3_1.png,105.0,255.0,173.0
65.jpg_4_0.png,20.0,48.0,112.0
22.jpg_4_4.png,50.0,154.5,48.0
69.jpg_0_2.png,18.0,164.0,105.0
19.jpg_2_0.png,46.0,197.0,39.0
4.jpg_4_4.png,106.0,255.0,166.0
16.jpg_1_3.png,23.0,173.0,92.0
66.jpg_3_1.png,20.0,119.0,70.0
15.jpg_4_0.png,55.0,119.0,28.0
19.jpg_0_2.png,23.0,143.0,87.0
69.jpg_2_0.png,23.0,247.0,189.0
52.jpg_4_4.png,25.0,16.0,116.0
70.jpg_4_2.png,38.0,180.0,41.0
28.jpg_1_4.png,26.0,239.0,201.0
31.jpg_1_0.png,44.0,208.0,154.0
41.jpg_3_2.png,108.0,255.0,170.0
32.jpg_4_3.png,42.0,211.0,155.0
52.jpg_2_2.png,28.0,115.0,66.0
22.jpg_0_0.png,43.0,236.0,140.0
65.jpg_0_4.png,106.0,253.0,166.0
70.jpg_2_4.png,105.0,252.0,164.0
4.jpg_0_0.png,105.0,239.0,142.0
37.jpg_2_0.png,108.0,241.5,110.0
57.jpg_4_1.png,44.0,147.0,30.0
47.jpg_0_2.png,108.0,246.0,138.0
54.jpg_1_2.png,108.0,254.0,182.0
24.jpg_3_0.png,105.0,251.0,181.0
63.jpg_3_4.png,38.0,139.0,22.0
38.jpg_3_1.png,46.0,186.0,110.0
41.jpg_1_0.png,21.0,61.0,102.0
31.jpg_3_2.png,26.0,242.0,193.0
42.jpg_4_3.png,22.0,103.0,50.0
22.jpg_2_2.png,34.0,112.0,58.0
52.jpg_0_0.png,108.0,254.0,163.0
1.jpg_4_1.png,43.0,216.0,153.0
15.jpg_0_4.png,21.0,200.0,143.0
47.jpg_2_0.png,48.0,137.0,37.0
27.jpg_4_1.png,50.0,140.0,45.0
37.jpg_0_2.png,108.0,246.0,113.0
4.jpg_2_2.png,26.0,251.0,193.0
24.jpg_1_2.png,23.0,121.0,135.0
54.jpg_3_0.png,26.0,225.5,165.0
38.jpg_1_3.png,43.0,229.0,116.0
13.jpg_3_4.png,26.0,235.0,192.0
38.jpg_1_2.png,22.0,94.0,57.0
54.jpg_3_1.png,25.0,235.0,146.0
24.jpg_1_3.png,24.0,64.0,52.0
37.jpg_0_3.png,108.0,250.0,127.0
27.jpg_4_0.png,26.0,239.0,190.0
47.jpg_2_1.png,42.0,226.0,124.0
4.jpg_2_3.png,26.0,247.0,191.0
52.jpg_0_1.png,26.0,220.0,149.0
22.jpg_2_3.png,48.0,182.0,46.0
42.jpg_4_2.png,21.0,76.0,82.0
1.jpg_4_0.png,51.0,146.0,47.0
31.jpg_3_3.png,25.0,237.0,180.0
41.jpg_1_1.png,45.0,195.0,121.0
38.jpg_3_0.png,46.0,235.0,105.0
24.jpg_3_1.png,48.0,162.0,49.0
54.jpg_1_3.png,108.0,245.0,136.0
4.jpg_0_1.png,105.0,252.0,168.0
47.jpg_0_3.png,20.0,156.0,80.0
57.jpg_4_0.png,108.0,255.0,143.0
37.jpg_2_1.png,21.0,76.0,88.0
22.jpg_0_1.png,20.0,202.0,150.0
52.jpg_2_3.png,24.0,77.0,58.0
32.jpg_4_2.png,34.5,51.0,84.0
41.jpg_3_3.png,34.0,138.0,44.0
31.jpg_1_1.png,38.0,219.0,122.0
34.jpg_1_4.png,42.0,221.0,113.0
7.jpg_3_4.png,48.0,144.0,38.0
70.jpg_4_3.png,42.0,125.0,41.0
27.jpg_0_4.png,26.0,241.0,202.0
69.jpg_2_1.png,19.0,167.0,92.0
1.jpg_0_4.png,55.0,83.0,46.0
19.jpg_0_3.png,22.0,146.0,77.0
32.jpg_2_4.png,26.0,228.0,198.0
